Test Case,Associativity,Total Time (ns),Total Energy (pJ),Avg Time per Mem Operation (ns),L1 Total Energy (pJ),L1i Dynamic Energy (pJ),L1i Hits,L1i Misses,L1d Dynamic Energy (pJ),L1d Hits,L1d Misses,L2 Energy (pJ),L2 Hits,L2 Misses,DRAM Energy (pJ)
Spec_Benchmark/008.espresso.din,2,872046.5,686023250.0,0.8720465,686023250.0,404684000.0,805178,4190,95316000.0,188017,2615,1093288210.0,64263,1674,966529360.0
Spec_Benchmark/008.espresso.din,4,870291.5,685145750.0,0.8702915,685145750.0,404684000.0,805178,4190,95316000.0,188017,2615,1091884210.0,64302,1635,958877680.0
Spec_Benchmark/008.espresso.din,8,870741.5,685370750.0,0.8707415,685370750.0,404684000.0,805178,4190,95316000.0,188017,2615,1092244210.0,64292,1645,960846000.0
Spec_Benchmark/013.spice2g6.din,2,1151155.5,825578250.0,1.1511531976936047,825578250.0,392089500.0,749530,34649,107911500.0,206333,9490,1604592855.0,110832,3079,1415412080.0
Spec_Benchmark/013.spice2g6.din,4,1147645.5,823823250.0,1.1476432047135905,823823250.0,392089500.0,749530,34649,107911500.0,206333,9490,1601784855.0,110910,3001,1400165040.0
Spec_Benchmark/013.spice2g6.din,8,1136800.5,818400750.0,1.1367982264035472,818400750.0,392089500.0,749530,34649,107911500.0,206333,9490,1593108855.0,111151,2760,1352806800.0
Spec_Benchmark/015.doduc.din,2,1330259.0,915129500.0,1.330259,915129500.0,377596500.0,731272,23921,122403500.0,232661,12146,1791382330.0,114839,6333,2081238880.0
Spec_Benchmark/015.doduc.din,4,1313609.0,906804500.0,1.313609,906804500.0,377596500.0,731272,23921,122403500.0,232661,12146,1778062330.0,115209,5963,2008699040.0
Spec_Benchmark/015.doduc.din,8,1306004.0,903002000.0,1.306004,903002000.0,377596500.0,731272,23921,122403500.0,232661,12146,1771978330.0,115378,5794,1975531520.0
Spec_Benchmark/022.li.din,2,1249058.0,874529750.0,1.2490542528372415,874529750.0,371127000.0,732649,9605,128874500.0,244788,12961,1714752835.0,114515,4722,1757475520.0
Spec_Benchmark/022.li.din,4,1219133.0,859567250.0,1.2191293426119723,859567250.0,371127000.0,732649,9605,128874500.0,244788,12961,1690812835.0,115180,4057,1626984480.0
Spec_Benchmark/022.li.din,8,1219898.0,859949750.0,1.219894340316979,859949750.0,371127000.0,732649,9605,128874500.0,244788,12961,1691424835.0,115163,4074,1630363200.0
Spec_Benchmark/023.eqntott.din,2,1039527.5,769763750.0,1.0395275,769763750.0,384879500.0,762945,6814,115120500.0,218702,11539,1382874580.0,89062,2803,1281748080.0
Spec_Benchmark/023.eqntott.din,4,1035927.5,767963750.0,1.0359275,767963750.0,384879500.0,762945,6814,115120500.0,218702,11539,1379994580.0,89142,2723,1266148080.0
Spec_Benchmark/023.eqntott.din,8,1037322.5,768661250.0,1.0373225,768661250.0,384879500.0,762945,6814,115120500.0,218702,11539,1381110580.0,89111,2754,1272260560.0
Spec_Benchmark/026.compress.din,2,1462023.5,981011750.0,1.4620235,981011750.0,360608000.0,720809,407,139392000.0,249502,29282,2130041415.0,154691,5372,2032162800.0
Spec_Benchmark/026.compress.din,4,1436283.5,968141750.0,1.4362835,968141750.0,360608000.0,720809,407,139392000.0,249502,29282,2109449415.0,155263,4800,1919995120.0
Spec_Benchmark/026.compress.din,8,1430973.5,965486750.0,1.4309735,965486750.0,360608000.0,720809,407,139392000.0,249502,29282,2105201415.0,155381,4682,1896869040.0
